LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHE,STINT,TOT,PC_PA,Q,1999-Q3,0.8966666,
CHE,STINT,TOT,PC_PA,Q,1999-Q4,1.637892,
CHE,STINT,TOT,PC_PA,Q,2000-Q1,2.356179,
CHE,STINT,TOT,PC_PA,Q,2000-Q2,3.147938,
CHE,STINT,TOT,PC_PA,Q,2000-Q3,3.332753,
CHE,STINT,TOT,PC_PA,Q,2000-Q4,3.299279,
CHE,STINT,TOT,PC_PA,Q,2001-Q1,3.260437,
CHE,STINT,TOT,PC_PA,Q,2001-Q2,3.089153,
CHE,STINT,TOT,PC_PA,Q,2001-Q3,2.75498,
CHE,STINT,TOT,PC_PA,Q,2001-Q4,1.820004,
CHE,STINT,TOT,PC_PA,Q,2002-Q1,1.557215,
CHE,STINT,TOT,PC_PA,Q,2002-Q2,1.236638,
CHE,STINT,TOT,PC_PA,Q,2002-Q3,0.6438743,
CHE,STINT,TOT,PC_PA,Q,2002-Q4,0.557213,
CHE,STINT,TOT,PC_PA,Q,2003-Q1,0.3872133,
CHE,STINT,TOT,PC_PA,Q,2003-Q2,0.165461,
CHE,STINT,TOT,PC_PA,Q,2003-Q3,0.143519,
CHE,STINT,TOT,PC_PA,Q,2003-Q4,0.135748,
CHE,STINT,TOT,PC_PA,Q,2004-Q1,0.143403,
CHE,STINT,TOT,PC_PA,Q,2004-Q2,0.2606613,
CHE,STINT,TOT,PC_PA,Q,2004-Q3,0.5347604,
CHE,STINT,TOT,PC_PA,Q,2004-Q4,0.628452,
CHE,STINT,TOT,PC_PA,Q,2005-Q1,0.6791453,
CHE,STINT,TOT,PC_PA,Q,2005-Q2,0.6670547,
CHE,STINT,TOT,PC_PA,Q,2005-Q3,0.6878226,
CHE,STINT,TOT,PC_PA,Q,2005-Q4,0.863703,
CHE,STINT,TOT,PC_PA,Q,2006-Q1,1.053299,
CHE,STINT,TOT,PC_PA,Q,2006-Q2,1.318094,
CHE,STINT,TOT,PC_PA,Q,2006-Q3,1.587674,
CHE,STINT,TOT,PC_PA,Q,2006-Q4,1.867997,
CHE,STINT,TOT,PC_PA,Q,2007-Q1,2.131277,
CHE,STINT,TOT,PC_PA,Q,2007-Q2,2.408557,
CHE,STINT,TOT,PC_PA,Q,2007-Q3,2.538212,
CHE,STINT,TOT,PC_PA,Q,2007-Q4,2.330589,
CHE,STINT,TOT,PC_PA,Q,2008-Q1,2.318223,
CHE,STINT,TOT,PC_PA,Q,2008-Q2,2.084308,
CHE,STINT,TOT,PC_PA,Q,2008-Q3,2.087264,
CHE,STINT,TOT,PC_PA,Q,2008-Q4,0.49971,
CHE,STINT,TOT,PC_PA,Q,2009-Q1,0.121584,
CHE,STINT,TOT,PC_PA,Q,2009-Q2,0.095964,
CHE,STINT,TOT,PC_PA,Q,2009-Q3,0.069861,
CHE,STINT,TOT,PC_PA,Q,2009-Q4,0.08811966,
CHE,STINT,TOT,PC_PA,Q,2010-Q1,0.1208333,
CHE,STINT,TOT,PC_PA,Q,2010-Q2,0.11,
CHE,STINT,TOT,PC_PA,Q,2010-Q3,0.2298773,
CHE,STINT,TOT,PC_PA,Q,2010-Q4,0.207367,
CHE,STINT,TOT,PC_PA,Q,2011-Q1,0.151463,
CHE,STINT,TOT,PC_PA,Q,2011-Q2,0.1235407,
CHE,STINT,TOT,PC_PA,Q,2011-Q3,-0.2939843,
CHE,STINT,TOT,PC_PA,Q,2011-Q4,-0.007357,
CHE,STINT,TOT,PC_PA,Q,2012-Q1,0.04777767,
CHE,STINT,TOT,PC_PA,Q,2012-Q2,-0.017869,
CHE,STINT,TOT,PC_PA,Q,2012-Q3,-0.16139,
CHE,STINT,TOT,PC_PA,Q,2012-Q4,-0.04725367,
CHE,STINT,TOT,PC_PA,Q,2013-Q1,-0.05483866,
CHE,STINT,TOT,PC_PA,Q,2013-Q2,-0.05714267,
CHE,STINT,TOT,PC_PA,Q,2013-Q3,-0.06118067,
CHE,STINT,TOT,PC_PA,Q,2013-Q4,-0.02151067,
CHE,STINT,TOT,PC_PA,Q,2014-Q1,-0.04342933,
CHE,STINT,TOT,PC_PA,Q,2014-Q2,-0.02188867,
CHE,STINT,TOT,PC_PA,Q,2014-Q3,0.04666667,
CHE,STINT,TOT,PC_PA,Q,2014-Q4,0.03333334,
CHE,STINT,TOT,PC_PA,Q,2015-Q1,-0.7233334,
CHE,STINT,TOT,PC_PA,Q,2015-Q2,-0.7833334,
CHE,STINT,TOT,PC_PA,Q,2015-Q3,-0.758077,
CHE,STINT,TOT,PC_PA,Q,2015-Q4,-0.6582053,
CHE,STINT,TOT,PC_PA,Q,2016-Q1,-0.8950267,
CHE,STINT,TOT,PC_PA,Q,2016-Q2,-0.7658333,
CHE,STINT,TOT,PC_PA,Q,2016-Q3,-0.7566667,
CHE,STINT,TOT,PC_PA,Q,2016-Q4,-0.8,
CHE,STINT,TOT,PC_PA,Q,2017-Q1,-0.8208333,
CHE,STINT,TOT,PC_PA,Q,2017-Q2,-0.815,
CHE,STINT,TOT,PC_PA,Q,2017-Q3,-0.8475,
CHE,STINT,TOT,PC_PA,Q,2017-Q4,-0.7933334,
CHE,STINT,TOT,PC_PA,Q,2018-Q1,-0.7733333,
CHE,STINT,TOT,PC_PA,Q,2018-Q2,-0.77016,
CHE,STINT,TOT,PC_PA,Q,2018-Q3,-0.8016667,
CHE,STINT,TOT,PC_PA,Q,2018-Q4,-0.7933334,
CHE,STINT,TOT,PC_PA,Q,2019-Q1,-0.7766666,
CHE,STINT,TOT,PC_PA,Q,2019-Q2,-0.79963,
CHE,STINT,TOT,PC_PA,Q,2019-Q3,-0.7166666,
CHE,STINT,TOT,PC_PA,Q,2019-Q4,-0.7152633,
CHE,STINT,TOT,PC_PA,Q,2020-Q1,-0.655,
CHE,STINT,TOT,PC_PA,Q,2020-Q2,-0.6947233,
CHE,STINT,TOT,PC_PA,Q,2020-Q3,-0.71,
CHE,STINT,TOT,PC_PA,Q,2020-Q4,-0.7133333,
CHE,STINT,TOT,PC_PA,Q,2021-Q1,-0.733,
CHE,STINT,TOT,PC_PA,Q,2021-Q2,-0.73,
CHE,STINT,TOT,PC_PA,Q,2021-Q3,-0.7883334,
CHE,STINT,TOT,PC_PA,Q,2021-Q4,-0.706,
CHE,STINT,TOT,PC_PA,Q,2022-Q1,-0.655,
CHE,STINT,TOT,PC_PA,Q,2022-Q2,-0.5916666,
CHE,STINT,TOT,PC_PA,Q,2022-Q3,0.1333333,
CHE,STINT,TOT,PC_PA,Q,2022-Q4,0.6066667,
CHE,STINT,TOT,PC_PA,Q,2023-Q1,1.116667,
CHE,STINT,TOT,PC_PA,Q,2023-Q2,1.45,
FRA,STINT,TOT,PC_PA,Q,1970-Q1,9.92,
FRA,STINT,TOT,PC_PA,Q,1970-Q2,9.186666,
FRA,STINT,TOT,PC_PA,Q,1970-Q3,8.673333,
FRA,STINT,TOT,PC_PA,Q,1970-Q4,7.92,
FRA,STINT,TOT,PC_PA,Q,1971-Q1,6.376667,
FRA,STINT,TOT,PC_PA,Q,1971-Q2,6.49,
FRA,STINT,TOT,PC_PA,Q,1971-Q3,6.37,
FRA,STINT,TOT,PC_PA,Q,1971-Q4,5.91,
FRA,STINT,TOT,PC_PA,Q,1972-Q1,5.256667,
FRA,STINT,TOT,PC_PA,Q,1972-Q2,5.14,
FRA,STINT,TOT,PC_PA,Q,1972-Q3,4.786667,
FRA,STINT,TOT,PC_PA,Q,1972-Q4,6.843333,
FRA,STINT,TOT,PC_PA,Q,1973-Q1,7.803333,
FRA,STINT,TOT,PC_PA,Q,1973-Q2,7.84,
FRA,STINT,TOT,PC_PA,Q,1973-Q3,9.573334,
FRA,STINT,TOT,PC_PA,Q,1973-Q4,11.3,
FRA,STINT,TOT,PC_PA,Q,1974-Q1,12.75,
FRA,STINT,TOT,PC_PA,Q,1974-Q2,12.93,
FRA,STINT,TOT,PC_PA,Q,1974-Q3,14.00667,
FRA,STINT,TOT,PC_PA,Q,1974-Q4,12.39,
FRA,STINT,TOT,PC_PA,Q,1975-Q1,9.92,
FRA,STINT,TOT,PC_PA,Q,1975-Q2,7.693333,
FRA,STINT,TOT,PC_PA,Q,1975-Q3,7.166667,
FRA,STINT,TOT,PC_PA,Q,1975-Q4,6.913333,
FRA,STINT,TOT,PC_PA,Q,1976-Q1,7.226666,
FRA,STINT,TOT,PC_PA,Q,1976-Q2,7.823333,
FRA,STINT,TOT,PC_PA,Q,1976-Q3,9.226666,
FRA,STINT,TOT,PC_PA,Q,1976-Q4,10.48333,
FRA,STINT,TOT,PC_PA,Q,1977-Q1,9.94,
FRA,STINT,TOT,PC_PA,Q,1977-Q2,9.19,
FRA,STINT,TOT,PC_PA,Q,1977-Q3,8.53,
FRA,STINT,TOT,PC_PA,Q,1977-Q4,9.203333,
FRA,STINT,TOT,PC_PA,Q,1978-Q1,9.88,
FRA,STINT,TOT,PC_PA,Q,1978-Q2,8.203333,
FRA,STINT,TOT,PC_PA,Q,1978-Q3,7.493333,
FRA,STINT,TOT,PC_PA,Q,1978-Q4,7.05,
FRA,STINT,TOT,PC_PA,Q,1979-Q1,6.85,
FRA,STINT,TOT,PC_PA,Q,1979-Q2,7.763333,
FRA,STINT,TOT,PC_PA,Q,1979-Q3,10.82333,
FRA,STINT,TOT,PC_PA,Q,1979-Q4,12.49667,
FRA,STINT,TOT,PC_PA,Q,1980-Q1,12.99667,
FRA,STINT,TOT,PC_PA,Q,1980-Q2,12.64667,
FRA,STINT,TOT,PC_PA,Q,1980-Q3,11.67667,
FRA,STINT,TOT,PC_PA,Q,1980-Q4,11.51667,
FRA,STINT,TOT,PC_PA,Q,1981-Q1,11.96667,
FRA,STINT,TOT,PC_PA,Q,1981-Q2,15.94,
FRA,STINT,TOT,PC_PA,Q,1981-Q3,17.44,
FRA,STINT,TOT,PC_PA,Q,1981-Q4,15.69,
FRA,STINT,TOT,PC_PA,Q,1982-Q1,14.94667,
FRA,STINT,TOT,PC_PA,Q,1982-Q2,16.08333,
FRA,STINT,TOT,PC_PA,Q,1982-Q3,14.39,
FRA,STINT,TOT,PC_PA,Q,1982-Q4,13.04333,
FRA,STINT,TOT,PC_PA,Q,1983-Q1,12.71,
FRA,STINT,TOT,PC_PA,Q,1983-Q2,12.44,
FRA,STINT,TOT,PC_PA,Q,1983-Q3,12.39,
FRA,STINT,TOT,PC_PA,Q,1983-Q4,12.33,
FRA,STINT,TOT,PC_PA,Q,1984-Q1,12.41333,
FRA,STINT,TOT,PC_PA,Q,1984-Q2,12.30333,
FRA,STINT,TOT,PC_PA,Q,1984-Q3,11.41333,
FRA,STINT,TOT,PC_PA,Q,1984-Q4,10.68,
FRA,STINT,TOT,PC_PA,Q,1985-Q1,10.60667,
FRA,STINT,TOT,PC_PA,Q,1985-Q2,10.28667,
FRA,STINT,TOT,PC_PA,Q,1985-Q3,9.803333,
FRA,STINT,TOT,PC_PA,Q,1985-Q4,9.076667,
FRA,STINT,TOT,PC_PA,Q,1986-Q1,8.693334,
FRA,STINT,TOT,PC_PA,Q,1986-Q2,7.363333,
FRA,STINT,TOT,PC_PA,Q,1986-Q3,7.106667,
FRA,STINT,TOT,PC_PA,Q,1986-Q4,7.674667,
FRA,STINT,TOT,PC_PA,Q,1987-Q1,8.340533,
FRA,STINT,TOT,PC_PA,Q,1987-Q2,8.184033,
FRA,STINT,TOT,PC_PA,Q,1987-Q3,7.978233,
FRA,STINT,TOT,PC_PA,Q,1987-Q4,8.572967,
FRA,STINT,TOT,PC_PA,Q,1988-Q1,8.0147,
FRA,STINT,TOT,PC_PA,Q,1988-Q2,7.818267,
FRA,STINT,TOT,PC_PA,Q,1988-Q3,7.727334,
FRA,STINT,TOT,PC_PA,Q,1988-Q4,8.208366,
FRA,STINT,TOT,PC_PA,Q,1989-Q1,9.025666,
FRA,STINT,TOT,PC_PA,Q,1989-Q2,8.889267,
FRA,STINT,TOT,PC_PA,Q,1989-Q3,9.2082,
FRA,STINT,TOT,PC_PA,Q,1989-Q4,10.4721,
FRA,STINT,TOT,PC_PA,Q,1990-Q1,11.01693,
FRA,STINT,TOT,PC_PA,Q,1990-Q2,9.968233,
FRA,STINT,TOT,PC_PA,Q,1990-Q3,10.19607,
FRA,STINT,TOT,PC_PA,Q,1990-Q4,10.10437,
FRA,STINT,TOT,PC_PA,Q,1991-Q1,9.831433,
FRA,STINT,TOT,PC_PA,Q,1991-Q2,9.4292,
FRA,STINT,TOT,PC_PA,Q,1991-Q3,9.5408,
FRA,STINT,TOT,PC_PA,Q,1991-Q4,9.658667,
FRA,STINT,TOT,PC_PA,Q,1992-Q1,10.0496,
FRA,STINT,TOT,PC_PA,Q,1992-Q2,10.0403,
FRA,STINT,TOT,PC_PA,Q,1992-Q3,10.55087,
FRA,STINT,TOT,PC_PA,Q,1992-Q4,10.7377,
